word,sentence,wakati
ぶらぶら,"行き は ぶらぶら し ながら 行け た し 、 帰り は 送迎 ば す が あっ た から ', 
",1
ぶらぶら,"部屋 の ど あ に は だ ん ぱ ー が なく 、 ぶらぶら の 扉 （ 朝食 を 食べ に 行っ て 、 戻っ たら 扉 は 空い た まんま だっ た ', 
",1
ぶらぶら,"仕方 なし に 周辺 を ぶらぶら … 間 が 持た ず 、 １ ４ 時 ３ ０ 頃 に 戻り 、 ろ び ー 椅子 で 待機 
",1
いらいら,"みんな いらいら Ｍ Ａ Ｘ でし た ', 
",1
いらいら,"他 の 人 が 使っ た まま なんて ありえ ない し 、 もう いらいら し すぎ て 書い た あん け ー とも 置い て 帰り まし た ', 
",1
いらいら,"いらいら さ せ ない で ください ', 
",1
いらいら,"それ だけ でも かなり いらいら し て いる の に 更に ふろ ん と の 女性 の 愛想 の 悪い 接客 態度 ', 
",1
いらいら,"疲れ て ほてる について 予約 が ない よう な 話 を さ れる と 不安 に なる し いらいら する ', 
",1
いらいら,"疲れ て ほてる について 予約 が ない よう な 話 を さ れる と 不安 に なる し いらいら する ', 
",1
いらいら,"疲れ て ほてる について 予約 が ない よう な 話 を さ れる と 不安 に なる し いらいら する ', 
",1
いらいら,"疲れ て ほてる について 予約 が ない よう な 話 を さ れる と 不安 に なる し いらいら する ', 
",1
いらいら,"疲れ て ほてる について 予約 が ない よう な 話 を さ れる と 不安 に なる し いらいら する ', 
",1
いらいら,"疲れ て ほてる について 予約 が ない よう な 話 を さ れる と 不安 に なる し いらいら する ', 
",1
いらいら,"疲れ て ほてる について 予約 が ない よう な 話 を さ れる と 不安 に なる し いらいら する ', 
",1
いらいら,"もっと す ぴ ー で ぃにできませんか ？ いらいら し ます ', 
",1
いらいら,"駐車 場 の 係員 が こちら が 車 の 出し入れ で てこずっ て いる の を 見 て 、 いらいら し て こわかっ た ', 
",1
いらいら,"私 達 以外 に も 一般 予約 で 待たさ れ た 方々 が い て 呆れ たり いらいら し て い まし た ', 
",1
いらいら,"いつも ち ぇっくあうとの 際 待たさ れ いらいら する ', 
",1
いらいら,"急い で いる 方々 は 、 いらいら し つ い まし た ', 
",1
いらいら,"翌朝 、 仕事 に 行か なけれ ば なら ない のに 、 立 駐 から 出 て き た 車 は 別 の 車 だ し 、 時間 は かかる し ・ ・ いらいら でし た ', 
",1
いらいら,"てれ びのりもこんがぼたんを 押し て も すぐ に 切り替わら ず 、 いらいら ', 
",1
いらいら,"忙しい の は わかり ます が 、 いらいら を お客 さん に 見せる の は 控え た 方 が いい か と … ', 
",1
いらいら,"また 、 えれ べ ー た ー の 基数 も 少なく 本当に いらいら さ せ られ ます ', 
",1
いらいら,"非常 に 朝 から いらいら し まし た ', 
",1
いらいら,"対応 し た すたっ ふも 忙しく て いらいら し て た の か 、 対応 悪かっ た です ', 
",1
いらいら,"また 、 待たさ れ て いらいら し て いる 私 たち に対し 、 担当 し た ふろ ん と の 方 が あからさま に 不機嫌 な 態度 に なり 、 翌朝 ち ぇっくあうとの 際 も 不機嫌 な まま で 笑顔 も 挨拶 も あり ませ ん でし た ', 
",1
いらいら,"その 為 、 朝食 ～ ち ぇっくあうとまで 時間 帯 に 何 度 えれ べ ー た ー が 満員 で 乗れ なかっ た こと か .... もう ほんとに いらいら し まし た ', 
",1
いらいら,"ち ぇっくあうと 時 に 混雑 し て いる の に ふろ ん と の 対応 が 一 人 しか い なく て 待たさ れ て いらいら し た ', 
",1
いらいら,"やっと 順番 が 来 た と 思っ たら 「 お 待た せ し まし た 」 とか の 一言 も なく いらいら が 増幅 さ れ た ', 
",1
いらいら,"いらいら だけ が たまり ます から ', 
",1
いらいら,"部屋 が 異様 に 狭く いらいら し まし た ', 
",1
いらいら,"朝 から いらいら し っぱなし です ', 
",1
いらいら,"私 の すぐ 後 に 来 た 男性 も 同じ こと を 聞い て おり 、 同じ こと を 聞か れ いらいら し て い た の かも しれ ませ ん が 、 接客 業 として あり え ませ ん ', 
",1
いらいら,"非常 階段 も 鍵 の ところ に 付い て いる ぷらすてぃっくかば ー を 壊さ ない と 解 錠 でき ない たい ぷ な ので 、 えれ べ ー た ー 乗り 口 で 皆 、 いらいら し て い た ', 
",1
いらいら,"旅先 で 安心 し て 休み たい 所 で 、 あんなに いらいら 不安 で 疲れ た 宿泊 は 初めて です ', 
",1
いらいら,"ふろ ん と の 対応 が あまりに も 横柄 な ので いらいら し ながら のち ぇっくいんでした ', 
",1
いらいら,"以前 の おにぎり だけ の 方 が 未だ 良かっ た かも ？ また 、 えれ べ ー た ー が １ 台 しか なく 、 通常 は 階段 が 使え ない の は 、 とても いらいら し ます ', 
",1
いらいら,"今 まで 、 この 部屋 に 泊っ た 人 から の 苦情 が 無かっ た の でしょ う か ！ ？ あと 、 何 度 も 目 が 覚め た せい で 、 いらいら し て い た かも しれ ませ ん が 、 えれ べ ー た ー の 着 床 音 （ ２ 階 に 着い た 時 の 音 ） が 大きく 感じ まし た ', 
",1
いらいら,"ふろ ん と の 対応 が いまひとつ ぎこちなく いらいら さ せ られる こと が しばしば ある ', 
",1
いらいら,"疲れ て い た ので 、 かなり いらいら し た ', 
",1
いらいら,"余りに も 腹立たしく て 、 一睡 も 出来 ない まま 朝 を 迎え 、 6 時半 頃 に ち ぇっくあうとする 為 、 ふろ ん と に 降りる と 、 1 番 対応 の 悪かっ た 女性 が 居 て 、 また いらいら が ぶり返し まし た ', 
",1
いらいら,"てれ び の 受信 が とても 悪く 途中 で 見れ なく に なっ て しまう 状態 で とても いらいら し た ', 
",1
いらいら,"ふろ ん と の 方 は ごみ箱 まで 調べ られ ない と 言っ た のに 、 電話 対応 し た 方 は ごみ箱 まで 調べ た と おっしゃっ て て 、 矛盾 し た こと を 話さ れ いらいら が ぴ ー くに 達し まし た ', 
",1
いらいら,"朝 ４ 時 に 、 ３ ， ４ 人 が 、 歌い ながら 帰っ て き た 時 に は 、 いらいら が 最高潮 に ・ ・ ', 
",1
いらいら,"しかし どこ も 朝 の 食事 は 混雑 、 おまけ に 用意 し て いる 料理 が 不足 がち に なる こと が 多く ちょっと いらいら する こと が 多い です ね ', 
",1
いらいら,"いらいら が 顔 に 出 た と 思う ', 
",1
いらいら,"また 、 洗面 台 の 排水 が 不良 で 、 いらいら し まし た ', 
",1
いらいら,"いらいら と 寒 さ で 一睡 も でき ず ', 
",1
いらいら,"あと 、 てれ びのりもこんのぼたんを 押し て も 効き が 悪く 何 度 も 押さ ない と 認識 し ない ので いらいら し た ', 
",1
いらいら,"私 は 夜中 に やら れ て いらいら し まし た ', 
",1
いらいら,"不快 な 思い は めちゃくちゃ さ せ られ 、 いらいら し た 出張 でし た ', 
",1
いらいら,"えれ べ ー た ー が １ 基 しか なく 、 朝 出掛ける 時 は 毎日 いらいら し まし た ', 
",1
いらいら,"21 時 ち ぇっくいんしたら 、 ふろ ん と 2 人 で 
",0
いらいら,"お客様 が たくさん 人 待たさ れ いらいら ', 
",1
いらいら,"えれ べ ー た が １ 台 だけ な ので ９ Ｆ から 朝食 の １ Ｆ まで 、 ほぼ 各階 停車 で いらいら し まし た ', 
",1
いらいら,"いつも 東横 い ん を 使っ て いる が ほんとに 不便 で いらいら し た ', 
",1
いらいら,"さらに 、 かみ そり 、 歯 ぶら し 、 寝巻 は 以前 は 、 部屋 に おい て あっ た の です が 、 ふろ ん と ふろ あ から 持っ て いく 形式 に なっ て い て 、 前 の やり取り で 少し いらいら し て い た の も あり 「 だんだん さ ー びす が 悪く なり ます ね ～」 と いっ たら 、 ふろ ん と ： 「 そう です ね 」 ', 
",1
いらいら,"それから 、 くち こみ どおり てれ びのりもこんの 反応 が 悪く 、 思っ た 以上 に いらいら さ せ られ まし た ', 
",1
いらいら,"ふろ ん と の 方 が 緊張 し て い た の かも しれ ませ ん が 、 何 を 伝え たい の か が 非常 に わかり にくく 、 ち ぇっくいん 時 に いらいら し まし た ', 
",1
いらいら,"部屋 の か ー どき ー を 無くし て しまい 深夜 に ほてる に 帰っ て き まし た が 、 、 、 50 代 後半 の 男性 の ふろ ん と の 方 が 、 電話 中 で 、 待っ て いる の が いらいら ！ 客 を 待た せ て も 平気 な 態度 は 、 どう か と 思い ます ', 
",1
いらいら,"食事 ） びゅっふぇ 形式 の 朝食 でし た が 、 それぞれ の 食材 に 不足 が 多く 、 たい みん ぐ によって 全然 選べ ない こと に いらいら ', 
",1
いらいら,"」 当たり前 の 一言 ！ 暑い 中 、 到着 し いらいら が ・ ・ ・ その後 、 部屋 に 入る と 冷蔵庫 の 中 ・ ば す 壁 に 短い 髪の毛 ', 
",1
いらいら,"名 の 知れ た ほてる な ので 期待 し て まし た が 、 施設 で は なく 働い て いる 方々 に 久しぶり に いらいら し まし た ', 
",1
いらいら,"主人 が 暑がり な ので 、 暑く て 眠れ ない と いらいら し て い まし た ', 
",1
いらいら,"部屋 の てれ びのりもこんの 感度 が 悪く いらいら し 、 加湿 器 は なく 暖房 を かけ て ねる が 夜中 に 乾燥 し て 眠れ ず 、 あめ にて ぃ 
",1
いらいら,"ぐっずは 
",0
いらいら,"普通 に びじねすほてる 並み ', 
",0
いらいら,"私 は 階 なんか 求め て なかっ た し 勝手 に に ゅ ー お ー た に が 狭い 部屋 に 案内 し た くせ に 謝ら なかっ た の が いらいら し まし た ', 
",1
